index;barcode;title;author;isbn;complete_edition;date_of_publication;keep
180;EM000006331522;Schweizer Steuergesetze 2010 die Steuergesetze des Bundes und des Kantons Zürich mit über 100 Verwaltungsverordnungen und Querverweisen;Schweiz;9783905901481;[1. Auflage], Stand: 28.01.2010;[2010];
181;EM000007056036;Schweizer Steuergesetze 2011 die Steuergesetze des Bundes und des Kantons Zürich mit über 100 Verwaltungsverordnungen und Querverweisen;Schweiz;9783905901573;[2. Auflage], Stand: 1. Januar 2011;[2011];
182;EM000008715919;"Vergaberecht ""in a nutshell""";Schneider Heusi, Claudia;9783038910329;2. Auflage;© 2018;
183;EM000006331728;Aktuelles Vergaberecht 2010 = Marchés publics 2010;Stöckli, Hubert;9783725560936;;2010;x
184;EM000007698279;Aktuelles Vergaberecht 2012 = Marchés publics 2012;"Colloque ""Marchés publics"" 2012 Fribourg, Fribourg, Suisse ; Zurich, Zurich, Suisse";9783725565870;;2012;x
185;EM000009226870;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842431;Edition Zürich, Ausgabe 2020, 20. Auflage, aktueller Stand: 14.1.2020;2020;
186;EM000009226614;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783906842424;Ausgabe 2020, 21. Auflage, aktueller Stand: 14.1.2020;2020;
187;EM000005847876;System des Steuerrechts;Blumenstein, Ernst;3725533806;5., neu bearb. Aufl. von Peter Locher;1995;
188;EM000005206124;System des schweizerischen Steuerrechts;Blumenstein, Ernst;3725543429;6., neu bearb. Aufl. von Peter Locher;2002;
189;EM000004778436;System des schweizerischen Steuerrechts;Blumenstein, Ernst;3725543429;6., neu bearb. Aufl. von Peter Locher;2002;
190;EM000008200656;System des Schweizerischen Steuerrechts;Locher, Peter;9783725571871;7., neu bearbeitete Auflage von Professor Dr. Peter Locher, em. Ordinarius für Steuerrecht an der Universität Bern;2016;
